220;205;IPv4 Unicast;206.51.44.0/24
221;205;IPv6 Unicast;2001:504:13:5:0:0:0:0/64
224;204;IPv4 Unicast;206.51.40.0/24
225;204;IPv6 Unicast;2001:504:13:1:0:0:0:0/64
226;338;IPv4 Unicast;206.51.41.0/24
227;338;IPv6 Unicast;2001:504:13:3:0:0:0:0/64
228;331;IPv4 Unicast;193.169.198.0/23
230;42;IPv6 Unicast;2001:7FA:0:1::/64
231;112;IPv4 Unicast;210.100.3.0/24
232;336;IPv4 Unicast;91.213.236.0/24
233;248;IPv6 Unicast;2001:7f8:44::/64
235;366;IPv4 Unicast;200.0.20.0/24
236;298;IPv4 Unicast;193.156.120.0/24
237;264;IPv4 Unicast;195.182.218.0/23
238;264;IPv6 Unicast;2001:7f8:42::/48
239;78;IPv4 Unicast;192.38.7.0/24
240;78;IPv6 Unicast;2001:7F8:1F::/48
241;195;IPv4 Unicast;206.223.127.0/25
242;195;IPv6 Unicast;2001:504:19::/64
243;231;IPv4 Unicast;193.243.183.64/26
244;231;IPv6 Unicast;2001:7f8:53::/48
245;373;IPv4 Unicast;198.32.181.0/24
247;377;IPv4 Unicast;193.37.144.0/24
249;382;IPv4 Unicast;193.110.12.0/24
250;382;IPv4 Unicast;193.110.13.0/24
251;382;IPv6 Unicast;2001:7f8:21:9::/64
252;382;IPv6 Unicast;2001:7f8:21:10::/64
253;382;IPv6 Unicast;2001:7f8:21:11::/64
254;382;IPv6 Unicast;2001:7f8:21:12:/64
255;128;IPv6 Unicast;2001:7f8:21:10::/64
256;377;IPv6 Unicast;2001:7f8:4a::/48
257;91;IPv6 Unicast;2001:7f8:8::/64
258;209;IPv6 Unicast;2001:7f8:8:5::/64
259;291;IPv4 Unicast;193.42.155.0/24
260;291;IPv6 Unicast;2001:7f8:8:10::/64
261;74;IPv6 Unicast;2001:7f8:3d::/64
262;387;IPv4 Unicast;194.88.240.0/25
263;387;IPv6 Unicast;2001:7f8:18:12::/64
264;347;IPv4 Unicast;83.212.8.0/24
265;347;IPv6 Unicast;2001:648:2100::/48
266;34;IPv6 Unicast;2001:7f8:4e:2::/64
267;34;IPv4 Multicast;193.54.79.0/24
268;57;IPv6 Unicast;2001:7f8:9::/48
269;380;IPv4 Unicast;193.232.140.0/24
270;380;IPv6 Unicast;2001:7F8:20:501::/64
271;379;IPv4 Unicast;193.232.135.0/24
272;379;IPv6 Unicast;2001:7F8:20:601::/64
273;392;IPv4 Unicast;193.17.78.0/24
274;172;IPv6 Unicast;2001:7f8:3e::/48
275;398;IPv4 Unicast;194.190.119.0/24
276;398;IPv6 Unicast;2001:7f8:20:801::/64
277;350;IPv4 Unicast;194.85.107.0/24
278;350;IPv6 Unicast;2001:7F8:20:301::/64
279;363;IPv4 Unicast;209.33.201.176/28
280;326;IPv4 Unicast;185.1.30.0/24
281;383;IPv4 Unicast;62.63.142.0/24
282;381;IPv4 Unicast;194.57.253.128/27
283;400;IPv4 Unicast;193.219.13.64/26
284;115;IPv6 Unicast;2001:7f8:23:ffff::/64
285;115;IPv4 Multicast;194.116.100.0/24
286;249;IPv4 Unicast;206.51.7.0/25
287;249;IPv6 Unicast;2001:504:1B:1::/64
