204;28877;5-10Gbps;Balanced;Europe;NSP;Open;N;N
205;8237;100-1000Mbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
206;29017;50-100 Gbps;Mostly Outbound;Europe;NSP;Selective;N;N
208;20932;1-5Gbps;Balanced;Regional;Cable/DSL/ISP;Open;N;N
212;12350;1-5Gbps;Mostly Inbound;Europe;Cable/DSL/ISP;Open;N;N
213;30972;50-100 Gbps;Heavy Outbound;Europe;Content;Open;N;N
215;15623;20-100Mbps;Mostly Outbound;Regional;Cable/DSL/ISP;Open;N;N
217;31216;20-50 Gbps;Mostly Outbound;Global;NSP;Selective;N;N
218;31424;1-5Gbps;Balanced;Europe;NSP;Open;N;N
219;20634;5-10Gbps;Mostly Inbound;Europe;Cable/DSL/ISP;Open;N;N
220;7784;1-5Gbps;Mostly Inbound;Regional;Cable/DSL/ISP;Open;N;N
221;23310;0-20 Mbps;Balanced;Regional;Educational/Research;Open;N;N
222;30094;100-200 Gbps;Heavy Outbound;Global;Content;Open;N;N
226;6539;Not Disclosed;Balanced;North America;NSP;Restrictive;N;N
227;15266;100-1000Mbps;Mostly Outbound;North America;Content;Open;N;N
229;8833;100-1000Mbps;Mostly Outbound;Regional;Cable/DSL/ISP;Open;N;N
230;14492;1-5Gbps;Balanced;Global;Content;Open;N;N
231;16559;1-5Gbps;Balanced;Regional;Cable/DSL/ISP;Open;N;N
232;1836;10-20Gbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
233;7091;100-1000Mbps;Balanced;North America;NSP;Open;N;N
234;4306;1-5Gbps;Heavy Outbound;North America;Content;Open;N;N
236;4788;500-1000 Gbps;Mostly Inbound;Global;Cable/DSL/ISP;Restrictive;N;N
238;3213;10-20Gbps;Mostly Inbound;Europe;Cable/DSL/ISP;Open;N;N
240;559;10-20Gbps;Balanced;Europe;Educational/Research;Selective;N;N
243;22612;20-100Mbps;Mostly Outbound;North America;Content;Open;N;N
247;2915;1-5Gbps;Balanced;Global;NSP;Selective;N;N
248;4725;200-300 Gbps;Mostly Inbound;Global;NSP;Restrictive;N;N
250;8319;100-1000Mbps;Balanced;Regional;Enterprise;Open;N;N
251;6666;100-1000Mbps;Mostly Outbound;Europe;Content;Open;N;N
253;6770;0-20 Mbps;Mostly Outbound;Europe;NSP;Open;N;N
254;12399;1-5Gbps;Balanced;Europe;NSP;Open;N;N
257;3300;100-1000Mbps;Balanced;Global;Cable/DSL/ISP;Selective;N;N
258;13101;20-50 Gbps;Mostly Outbound;Europe;NSP;Open;N;N
260;29260;0-20 Mbps;Balanced;Global;Educational/Research;Open;N;N
261;1273;1 Tbps+;Balanced;Global;NSP;Selective;N;N
262;8560;100+ Gbps;Mostly Outbound;Global;NSP;Open;N;N
263;20640;1-5Gbps;Balanced;Europe;Cable/DSL/ISP;Selective;N;N
265;31265;20-100Mbps;Balanced;Europe;NSP;Open;N;N
266;9132;Not Disclosed;Balanced;Regional;Cable/DSL/ISP;Restrictive;N;N
267;174;\N;\N;\N;\N;\N;N;N
268;12859;1-5Gbps;Mostly Outbound;Regional;NSP;Open;N;N
269;15594;20-100Mbps;Balanced;Regional;NSP;Open;N;N
270;8763;100-1000Mbps;Mostly Outbound;Regional;NSP;Open;N;N
273;8308;1-5Gbps;Balanced;Europe;NSP;Open;N;N
278;8741;100-1000Mbps;Mostly Outbound;Europe;Content;Open;N;N
279;680;100-200 Gbps;Balanced;Europe;Educational/Research;Selective;N;N
280;15837;100-1000Mbps;Balanced;Regional;Cable/DSL/ISP;Open;N;N
281;2856;1 Tbps+;Mostly Inbound;Regional;NSP;Selective;N;N
283;25358;Not Disclosed;Mostly Outbound;Europe;NSP;Selective;N;N
284;8586;1-5Gbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
285;1853;5-10Gbps;Balanced;Regional;Educational/Research;Open;N;N
286;3856;1-5Gbps;Balanced;Global;Educational/Research;Open;N;N
291;6939;1 Tbps+;Balanced;Global;NSP;Open;N;N
292;29452;1-5Gbps;Mostly Outbound;Europe;Content;Open;N;N
294;8190;10-20Gbps;Mostly Inbound;Europe;NSP;Selective;N;N
297;28796;0-20 Mbps;Mostly Outbound;Europe;Content;Open;N;N
300;8514;Not Disclosed;Balanced;Regional;Cable/DSL/ISP;Open;N;N
301;5588;200-300 Gbps;Balanced;Europe;NSP;Selective;N;N
302;15290;50-100 Gbps;Balanced;North America;Cable/DSL/ISP;Selective;N;N
303;4136;Not Disclosed;Balanced;North America;Content;Selective;N;N
304;13301;5-10Gbps;Mostly Outbound;Europe;Content;Open;N;N
305;31157;20-100Mbps;Balanced;Europe;Cable/DSL/ISP;Open;N;N
306;29444;20-100Mbps;Balanced;Europe;Content;Open;N;N
307;812;100+ Gbps;Mostly Inbound;Regional;Cable/DSL/ISP;Selective;N;N
